,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
74,74,true,250,-854.2597983141391,-503.0328817116546,-145.26245658030146,-151.23528817018322,-112.48527400129585,-47.509839309988706
74,74,best,250,-129.15166691795815,-96.86515129469419,-40.226419290262484,-151.23528817018322,-112.48527400129585,-47.509839309988706
74,74,BMA,250,-417.5244757075139,-254.81532920169664,-70.9314673977539,-151.23528817018322,-112.48527400129585,-47.509839309988706
75,75,true,250,-906.0246916199314,-502.7649183663512,-107.44229532459542,-151.23528817018322,-112.48527400129585,-47.509839309988706
75,75,best,250,-6.193375380707988,-0.20553866725773773,15.943039416771205,-151.23528817018322,-112.48527400129585,-47.509839309988706
75,75,BMA,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
76,76,true,250,-1421.4858725178601,-821.0867754398688,-225.85834192261805,-151.23528817018322,-112.48527400129585,-47.509839309988706
76,76,best,250,-1405.0972096608066,-810.3801998159483,-214.4141839682805,-151.23528817018322,-112.48527400129585,-47.509839309988706
76,76,BMA,250,-1605.6912420919502,-885.6816409221494,-220.94005942602539,-151.23528817018322,-112.48527400129585,-47.509839309988706
77,77,true,250,-5335.544967014039,-2705.743282014113,-656.3974556349285,-151.23528817018322,-112.48527400129585,-47.509839309988706
77,77,best,250,-5001.937603915968,-2671.7820386880144,-664.1372155346153,-151.23528817018322,-112.48527400129585,-47.509839309988706
77,77,BMA,250,-3994.2991357771557,-2151.0104840032454,-534.6279004279169,-151.23528817018322,-112.48527400129585,-47.509839309988706
78,78,true,250,-3112.626535082008,-1665.4571072562728,-417.5906851802181,-151.23528817018322,-112.48527400129585,-47.509839309988706
78,78,best,250,-12876.688764737659,-6091.66751441172,-1147.6024790096633,-151.23528817018322,-112.48527400129585,-47.509839309988706
78,78,BMA,250,-6129.346957845881,-3103.6181280108663,-682.1151234765398,-151.23528817018322,-112.48527400129585,-47.509839309988706
79,79,true,250,-2998.199633930293,-1553.5123779125452,-345.0446289077976,-151.23528817018322,-112.48527400129585,-47.509839309988706
79,79,best,250,-2842.9417962317834,-1478.8401963859021,-344.0433003795322,-151.23528817018322,-112.48527400129585,-47.509839309988706
79,79,BMA,250,-6031.019333121713,-2983.9153075610866,-588.3506102340402,-151.23528817018322,-112.48527400129585,-47.509839309988706
80,80,true,250,-1231.63997034492,-743.763734958804,-226.0452018482752,-151.23528817018322,-112.48527400129585,-47.509839309988706
80,80,best,250,-187.59544930681196,-145.18547320077982,-72.3221080756982,-151.23528817018322,-112.48527400129585,-47.509839309988706
80,80,BMA,250,-598.6277483727923,-363.15640191701317,-115.8605691548451,-151.23528817018322,-112.48527400129585,-47.509839309988706
81,81,true,250,-1907.051633853279,-1050.4257196752158,-268.8778153296037,-151.23528817018322,-112.48527400129585,-47.509839309988706
81,81,best,250,-1998.3704773736977,-1100.8789380201938,-274.4798445263488,-151.23528817018322,-112.48527400129585,-47.509839309988706
81,81,BMA,250,-2856.980189123851,-1476.738467299032,-352.567925774301,-151.23528817018322,-112.48527400129585,-47.509839309988706
82,82,true,250,-2383.0692727619,-1334.4270621583391,-356.95327741244347,-151.23528817018322,-112.48527400129585,-47.509839309988706
